t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
0.0,138,0.41397666931152344,50.66548538208008,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,8.0,8.0,47.0,31.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0
1.0,138,0.41397666931152344,50.66548538208008,35.00526955756176,-0.7510277944345423,-0.5436202540722467,0.9271276765639062,0.0,0.0,2.0,27.0,8.0,8.0,47.0,31.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0
2.0,155,0.43653109669685364,57.51959228515625,24.383741509935387,-0.6768543704487476,0.5573971694885156,0.8768257770785366,0.0,0.0,3.0,33.0,10.0,9.0,42.0,34.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0
3.0,155,0.43653109669685364,57.51959228515625,33.3117099178096,0.8393716568279544,-0.1045116402648008,0.845853096723624,0.0,0.0,3.0,33.0,10.0,9.0,42.0,34.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0
4.0,153,0.4444606900215149,51.590213775634766,15.11995635620844,0.40331656098062013,-0.32716932070484556,0.5193303503279049,0.0,0.0,3.0,45.0,8.0,7.0,39.0,36.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,0.0
5.0,153,0.4444606900215149,51.590213775634766,15.263578581922818,0.16771761132122165,-0.5502568234923464,0.5752493102535488,0.0,0.0,3.0,45.0,8.0,7.0,39.0,36.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,0.0
6.0,148,0.5455504059791565,53.354393005371094,42.11248307818732,0.9369152905515093,0.22959942235894287,0.9646378369195246,0.0,0.0,2.0,42.0,11.0,8.0,27.0,37.0,2.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0
7.0,148,0.5455504059791565,53.354393005371094,80.84272946817413,0.9775077594014447,0.16475808276527026,0.9912954380640114,0.0,0.0,2.0,42.0,11.0,8.0,27.0,37.0,2.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0
8.0,111,0.36553680896759033,42.38298416137695,15.226469163175192,0.37136017261678,0.2017819765432692,0.4226397329448251,0.0,0.0,1.0,20.0,4.0,4.0,23.0,43.0,0.0,3.0,4.0,2.0,0.0,5.0,1.0,1.0
9.0,111,0.36553680896759033,42.38298416137695,129.65634926602158,-0.5264539723908164,-0.13771554655869328,0.5441685003838702,0.0,0.0,1.0,20.0,4.0,4.0,23.0,43.0,0.0,3.0,4.0,2.0,0.0,5.0,1.0,1.0
10.0,86,0.20176053047180176,35.644989013671875,136.63130784018722,0.994111694012695,-0.03757260443138101,0.9948214718111723,0.0,0.0,0.0,1.0,0.0,7.0,20.0,45.0,0.0,3.0,4.0,2.0,0.0,1.0,2.0,1.0
11.0,86,0.20176053047180176,35.644989013671875,40.269564550315344,-0.8343765486468929,-0.3914279795745727,0.9216290404092815,0.0,0.0,0.0,1.0,0.0,7.0,20.0,45.0,0.0,3.0,4.0,2.0,0.0,1.0,2.0,1.0
12.0,126,0.2425590306520462,45.81468963623047,80.31474506355279,-0.9174182997597051,-0.156265460656629,0.9306316300922813,0.0,0.0,0.0,16.0,10.0,8.0,46.0,34.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0
13.0,126,0.2425590306520462,45.81468963623047,37.74558118328311,-0.044899761876514135,0.7569006578473777,0.7582312275726718,0.0,0.0,0.0,16.0,10.0,8.0,46.0,34.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0
14.0,116,0.20839346945285797,44.942081451416016,52.31075782497014,0.600906842137856,0.31828552831938006,0.6799961106253748,0.0,0.0,0.0,14.0,2.0,9.0,24.0,48.0,5.0,4.0,7.0,0.0,2.0,1.0,0.0,0.0
15.0,116,0.20839346945285797,44.942081451416016,64.57993417317905,0.6640204799521513,-0.33845951176573713,0.7453039909329524,0.0,0.0,0.0,14.0,2.0,9.0,24.0,48.0,5.0,4.0,7.0,0.0,2.0,1.0,0.0,0.0
16.0,106,0.2342223823070526,42.489131927490234,81.33689062589934,0.7734894926161793,0.07521293585122729,0.7771376846524657,0.0,0.0,0.0,3.0,1.0,1.0,25.0,56.0,7.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0
17.0,106,0.2342223823070526,42.489131927490234,40.262251476926224,0.1971540152293895,0.2568065066157788,0.32375806949212926,0.0,0.0,0.0,3.0,1.0,1.0,25.0,56.0,7.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0
18.0,78,0.26014548540115356,32.79547882080078,55.94918941572644,0.45164927155865864,-0.042555841364883426,0.45364971523603986,0.0,0.0,0.0,9.0,1.0,1.0,12.0,35.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0
19.0,78,0.26014548540115356,32.79547882080078,38.00721380319892,-0.10346509126987356,0.5068462587127144,0.5172989030362998,0.0,0.0,0.0,9.0,1.0,1.0,12.0,35.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0
20.0,79,0.21656586229801178,31.709959030151367,36.68593613280314,-0.3667911074197987,-0.7142770673240699,0.8029492171907986,0.0,0.0,0.0,8.0,0.0,0.0,10.0,46.0,1.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0
21.0,79,0.21656586229801178,31.709959030151367,55.814284778084605,0.43764850627912655,0.013261080627427622,0.43784937056910084,0.0,0.0,0.0,8.0,0.0,0.0,10.0,46.0,1.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0
