t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,count_sma5,count_res5,count_std5,count_z5,cov_sma5,cov_res5,cov_std5,cov_z5,wcount_sma5,wcount_res5,wcount_std5,wcount_z5,speed_sma5,speed_res5,speed_std5,speed_z5,dirx_sma5,dirx_res5,dirx_std5,dirx_z5,diry_sma5,diry_res5,diry_std5,diry_z5,consist_sma5,consist_res5,consist_std5,consist_z5,count_sma10,count_res10,count_std10,count_z10,cov_sma10,cov_res10,cov_std10,cov_z10,wcount_sma10,wcount_res10,wcount_std10,wcount_z10,speed_sma10,speed_res10,speed_std10,speed_z10,dirx_sma10,dirx_res10,dirx_std10,dirx_z10,diry_sma10,diry_res10,diry_std10,diry_z10,consist_sma10,consist_res10,consist_std10,consist_z10
0.0,138,0.41397666931152344,50.66548538208008,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,8.0,8.0,47.0,31.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,138,0.41397666931152344,50.66548538208008,35.00526955756176,-0.7510277944345423,-0.5436202540722467,0.9271276765639062,0.0,0.0,2.0,27.0,8.0,8.0,47.0,31.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,155,0.43653109669685364,57.51959228515625,24.383741509935387,-0.6768543704487476,0.5573971694885156,0.8768257770785366,0.0,0.0,3.0,33.0,10.0,9.0,42.0,34.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,155,0.43653109669685364,57.51959228515625,33.3117099178096,0.8393716568279544,-0.1045116402648008,0.845853096723624,0.0,0.0,3.0,33.0,10.0,9.0,42.0,34.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,153,0.4444606900215149,51.590213775634766,15.11995635620844,0.40331656098062013,-0.32716932070484556,0.5193303503279049,0.0,0.0,3.0,45.0,8.0,7.0,39.0,36.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,0.0,147.8000,5.2000,8.9833,0.5789,0.4291,0.0154,0.0142,1.0838,53.5921,-2.0019,3.6051,-0.5553,21.5641,-6.4442,14.4322,-0.4465,-0.0370,0.4404,0.6860,0.6419,-0.0836,-0.2436,0.4151,-0.5868,0.6338,-0.1145,0.3889,-0.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,153,0.4444606900215149,51.590213775634766,15.263578581922818,0.16771761132122165,-0.5502568234923464,0.5752493102535488,0.0,0.0,3.0,45.0,8.0,7.0,39.0,36.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,0.0,150.8000,2.2000,7.2250,0.3045,0.4352,0.0093,0.0125,0.7411,53.7770,-2.1868,3.4373,-0.6362,24.6169,-9.3533,9.5033,-0.9842,-0.0035,0.1712,0.6924,0.2473,-0.1936,-0.3566,0.4581,-0.7785,0.7489,-0.1736,0.1873,-0.9268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,148,0.5455504059791565,53.354393005371094,42.11248307818732,0.9369152905515093,0.22959942235894287,0.9646378369195246,0.0,0.0,2.0,42.0,11.0,8.0,27.0,37.0,2.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0,152.8000,-4.8000,2.8636,-1.6762,0.4615,0.0840,0.0471,1.7825,54.3148,-0.9604,3.0129,-0.3188,26.0383,16.0742,11.7188,1.3717,0.3341,0.6028,0.6468,0.9321,-0.0390,0.2686,0.4406,0.6096,0.7564,0.2083,0.1968,1.0583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,148,0.5455504059791565,53.354393005371094,80.84272946817413,0.9775077594014447,0.16475808276527026,0.9912954380640114,0.0,0.0,2.0,42.0,11.0,8.0,27.0,37.0,2.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0,151.4000,-3.4000,3.2094,-1.0594,0.4833,0.0622,0.0569,1.0937,53.4818,-0.1274,2.4234,-0.0526,37.3301,43.5126,26.9842,1.6125,0.6650,0.3125,0.3598,0.8687,-0.1175,0.2823,0.3285,0.8594,0.7793,0.2120,0.2196,0.9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,111,0.36553680896759033,42.38298416137695,15.226469163175192,0.37136017261678,0.2017819765432692,0.4226397329448251,0.0,0.0,1.0,20.0,4.0,4.0,23.0,43.0,0.0,3.0,4.0,2.0,0.0,5.0,1.0,1.0,142.6000,-31.6000,17.8410,-1.7712,0.4691,-0.1036,0.0769,-1.3476,50.4544,-8.0715,4.5975,-1.7556,33.7130,-18.4866,28.8080,-0.6417,0.5714,-0.2000,0.3639,-0.5496,-0.0563,0.2580,0.3587,0.7194,0.6946,-0.2720,0.2645,-1.0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,111,0.36553680896759033,42.38298416137695,129.65634926602158,-0.5264539723908164,-0.13771554655869328,0.5441685003838702,0.0,0.0,1.0,20.0,4.0,4.0,23.0,43.0,0.0,3.0,4.0,2.0,0.0,5.0,1.0,1.0,134.2000,-23.2000,21.2767,-1.0904,0.4533,-0.0878,0.0901,-0.9739,48.6130,-6.2300,5.7326,-1.0868,56.6203,73.0360,48.8756,1.4943,0.3854,-0.9119,0.6192,-1.4726,-0.0184,-0.1193,0.3319,-0.3596,0.6996,-0.1554,0.2606,-0.5964,141.0000,-30.0000,16.9837,-1.7664,0.4412,-0.0757,0.0622,-1.2174,51.1025,-8.7195,5.2219,-1.6698,39.0922,90.5641,38.6736,2.3418,0.1742,-0.7006,0.6551,-1.0695,-0.0510,-0.0867,0.3560,-0.2437,0.6667,-0.1225,0.3140,-0.3903
