t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
0.0,77,0.1120031327009201,50.613712310791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,19.0,15.0,9.0,12.0,4.0,5.0,5.0,1.0
1.0,47,0.08248524367809296,31.021739959716797,25.86016614022219,0.033316759695441116,-0.03934898017148519,0.05155917684699499,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,9.0,8.0,9.0,2.0,5.0,0.0,0.0
2.0,67,0.10784957557916641,44.073116302490234,24.93239445422132,-0.1042953286359208,-0.19395845894893451,0.22022125095712322,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,20.0,6.0,10.0,1.0,7.0,0.0,0.0
3.0,61,0.0741562619805336,37.764732360839844,13.180714710470827,0.052114482960165444,-0.0703365852228556,0.08753944570887688,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,19.0,13.0,10.0,10.0,0.0,0.0,1.0,0.0
4.0,61,0.10044470429420471,38.287418365478516,15.496623201283377,-0.017924453319634968,-0.43699597164600806,0.43736342469580886,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,16.0,13.0,9.0,7.0,3.0,0.0,0.0,3.0
5.0,42,0.0809234082698822,25.096147537231445,17.59826784529838,-0.09057209188321454,-0.24362853935020584,0.2599195433475833,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,9.0,11.0,5.0,6.0,1.0,0.0,0.0,1.0
6.0,60,0.11233827471733093,35.40580749511719,18.956489090496657,-0.4839630336228813,-0.1334878068851003,0.5020350709865358,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,12.0,11.0,6.0,11.0,1.0,0.0,1.0,1.0
7.0,59,0.08208823204040527,33.02980422973633,15.745035815904233,-0.1930484481160061,-0.3455670812222732,0.3958336910174265,0.0,0.0,0.0,0.0,13.0,6.0,1.0,0.0,12.0,15.0,1.0,9.0,1.0,0.0,1.0,0.0
8.0,49,0.07338118553161621,29.4258975982666,16.24460851966551,-0.23893726912901628,-0.337152331208609,0.41323445284515126,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,16.0,9.0,3.0,12.0,0.0,0.0,1.0,0.0
9.0,42,0.05472894385457039,25.260360717773438,16.218239668517842,0.29111909180288276,-0.3139851994695511,0.4281787373259782,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,18.0,1.0,3.0,0.0,1.0,0.0,1.0
10.0,41,0.06148917227983475,23.91547203063965,17.360205655153763,0.2065763964012102,-0.18623568300802706,0.27813222965988005,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,14.0,2.0,8.0,0.0,0.0,0.0,0.0
11.0,55,0.07306049019098282,33.42164611816406,13.046094197705214,0.4242338215955438,-0.21879077386333376,0.47732980015213394,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,15.0,14.0,4.0,12.0,0.0,1.0,0.0,2.0
12.0,37,0.06035001203417778,23.724536895751953,18.986958309421784,0.5118268200668222,-0.11859623760954643,0.5253872489077511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,10.0,4.0,4.0,2.0,1.0,0.0,0.0
